index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
1143,1.157e+15,,2.0036e-10,1.2708e-12,55212.71037,55212.71037,uv
1144,1.157e+15,,1.2252e-10,9.0511e-13,55252.259884,55252.259884,uv
1145,1.157e+15,,1.1463e-10,7.8589e-13,54564.195197,54564.195197,uv
1146,1.157e+15,,1.1954e-10,7.9899e-13,55377.681366,55377.681366,uv
1147,1.157e+15,,1.7328e-10,1.0299e-12,55192.42434,55192.42434,uv
1148,1.157e+15,,1.3524e-10,8.5794e-13,55336.907778,55336.907778,uv
1149,1.157e+15,,1.7155e-10,8.2093e-13,54976.038866,54976.038866,uv
1150,1.157e+15,,2.0208e-10,1.2475e-12,55211.367315,55211.367315,uv
1151,1.157e+15,,1.1784e-10,8.0654e-13,55357.925521,55357.925521,uv
1152,1.157e+15,,1.0134e-10,6.968e-13,55339.058183,55339.058183,uv
1153,1.157e+15,,1.122e-10,7.3439e-13,55320.870567,55320.870567,uv
1154,1.157e+15,,1.8e-10,7.5741e-13,54629.883715,54629.883715,uv
1155,1.157e+15,,1.0813e-10,7.7404e-13,55284.054016,55284.054016,uv
1156,1.157e+15,,1.6317e-10,1.1003e-12,54538.241875,54538.241875,uv
1157,1.157e+15,,1.9621e-10,2.0586e-12,54973.787315,54973.787315,uv
1158,1.157e+15,,1.35e-10,8.6068e-13,54946.948681,54946.948681,uv
1159,1.157e+15,,1.7888e-10,1.3483e-12,55215.262245,55215.262245,uv
1160,1.157e+15,,1.3283e-10,6.7168e-13,54778.869097,54778.869097,uv
1161,1.157e+15,,1.1705e-10,8.4278e-13,55257.024861,55257.024861,uv
1162,1.157e+15,,1.1829e-10,7.514e-13,55254.198113,55254.198113,uv
1163,1.157e+15,,2.0701e-10,1.3564e-12,55206.486262,55206.486262,uv
1164,1.157e+15,,1.9903e-10,1.2868e-12,55198.312558,55198.312558,uv
1165,1.157e+15,,1.6166e-10,1.2116e-12,54930.997257,54930.997257,uv
1166,1.157e+15,,1.0117e-10,8.5131e-13,55287.92765,55287.92765,uv
1167,1.157e+15,,1.5071e-10,9.9415e-13,55249.24625,55249.24625,uv
1168,1.157e+15,,1.2026e-10,8.9224e-13,55147.73103,55147.73103,uv
1169,1.157e+15,,1.0013e-10,6.7215e-13,53900.016169,53900.016169,uv
1170,1.157e+15,,8.4184e-11,3.988e-13,53901.490544,53901.490544,uv
1171,1.157e+15,,1.4961e-10,1.0459e-12,55269.869433,55269.869433,uv
1172,1.157e+15,,1.1116e-10,8.5676e-13,55303.117581,55303.117581,uv
1173,1.157e+15,,1.6436e-10,1.0207e-12,54978.720347,54978.720347,uv
1174,1.157e+15,,1.2368e-10,8.8984e-13,55278.022407,55278.022407,uv
1175,1.157e+15,,1.3837e-10,4.3421e-13,53739.465185,53739.465185,uv
1176,1.157e+15,,1.2922e-10,9.1635e-13,55264.988264,55264.988264,uv
1177,1.157e+15,,1.375e-10,2.9352e-12,55150.55235,55150.55235,uv
1178,1.157e+15,,1.3248e-10,7.603e-13,55251.52662,55251.52662,uv
1179,1.157e+15,,1.8343e-10,8.336e-13,55214.316539,55214.316539,uv
1180,1.157e+15,,1.2369e-10,6.3679e-13,55156.099028,55156.099028,uv
1181,1.157e+15,,1.6294e-10,1.0876e-12,54978.185428,54978.185428,uv
1182,1.157e+15,,1.8707e-10,1.1437e-12,55209.357801,55209.357801,uv
1183,1.157e+15,,1.6138e-10,8.2187e-13,54591.178831,54591.178831,uv
1184,1.157e+15,,1.535e-10,9.7426e-13,55242.018171,55242.018171,uv
1185,1.157e+15,,1.6392e-10,9.6754e-13,54978.453912,54978.453912,uv
1186,1.157e+15,,1.844e-10,1.0938e-12,54506.159549,54506.159549,uv
1187,1.157e+15,,1.3462e-10,1.2592e-12,54943.06662,54943.06662,uv
1188,1.157e+15,,1.0899e-10,8.7058e-13,55155.481806,55155.481806,uv
1189,1.157e+15,,1.1723e-10,8.0234e-13,55262.981238,55262.981238,uv
1190,1.157e+15,,9.8137e-11,7.4162e-13,55288.943368,55288.943368,uv
1191,1.157e+15,,1.0805e-10,7.6173e-13,54952.972581,54952.972581,uv
