index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
133,6.974e+17,1.087e+17,9.815e-11,1.4882e-12,51302.76176,51306.14015,xray
134,9.549e+17,1.489e+17,7.3419e-11,1.4236e-12,51302.76176,51306.14015,xray
135,1.308e+18,2.039e+17,5.4781e-11,1.6807e-12,51302.76176,51306.14015,xray
136,1.791e+18,2.792e+17,3.9525e-11,2.1793e-12,51302.76176,51306.14015,xray
137,2.452e+18,3.823e+17,2.9457e-11,3.1649e-12,51302.76176,51306.14015,xray
138,3.358e+18,5.235e+17,1.1883e-11,3.7235e-12,51302.76176,51306.14015,xray
139,4.599e+18,7.169e+17,1.0645e-11,2.3889e-12,51302.76176,51306.14015,xray
140,6.297e+18,9.818e+17,1.0127e-11,3.1518e-12,51302.76176,51306.14015,xray
141,8.623e+18,1.344e+18,6.6007e-12,3.2098e-12,51302.76176,51306.14015,xray
142,1.617e+19,2.521e+18,6.9976e-12,3.8849e-12,51302.76176,51306.14015,xray
143,1.773e+17,2.534e+16,3.0672e-10,4.4636e-12,51660.73374,51662.97052,xray
144,2.365e+17,3.379e+16,3.4941e-10,4.1019e-12,51660.73374,51662.97052,xray
145,3.153e+17,4.505e+16,3.7025e-10,4.2559e-12,51660.73374,51662.97052,xray
146,4.204e+17,6.008e+16,3.9337e-10,4.1601e-12,51660.73374,51662.97052,xray
147,5.606e+17,8.011e+16,3.9676e-10,4.3891e-12,51660.73374,51662.97052,xray
148,7.475e+17,1.068e+17,3.9393e-10,3.7955e-12,51660.73374,51662.97052,xray
149,9.968e+17,1.424e+17,3.8953e-10,4.5718e-12,51660.73374,51662.97052,xray
150,1.329e+18,1.899e+17,3.8237e-10,6.1371e-12,51660.73374,51662.97052,xray
151,1.772e+18,2.533e+17,3.7311e-10,8.6457e-12,51660.73374,51662.97052,xray
152,2.363e+18,3.377e+17,3.5985e-10,1.3986e-11,51660.73374,51662.97052,xray
153,3.151e+18,4.503e+17,3.1129e-10,6.6224e-12,51660.73374,51662.97052,xray
154,4.202e+18,6.005e+17,2.8923e-10,4.5062e-12,51660.73374,51662.97052,xray
155,5.603e+18,8.007e+17,2.5769e-10,4.9358e-12,51660.73374,51662.97052,xray
156,7.472e+18,1.068e+18,2.2551e-10,6.8151e-12,51660.73374,51662.97052,xray
157,9.963e+18,1.424e+18,1.9997e-10,9.1346e-12,51660.73374,51662.97052,xray
158,1.328e+19,1.898e+18,1.6986e-10,1.3668e-11,51660.73374,51662.97052,xray
159,1.771e+19,2.531e+18,1.6758e-10,1.457e-11,51660.73374,51662.97052,xray
160,2.362e+19,3.375e+18,1.2258e-10,1.7564e-11,51660.73374,51662.97052,xray
161,3.15e+19,4.501e+18,7.532e-11,3.0269e-11,51660.73374,51662.97052,gammaray
162,1.773e+17,2.534e+16,3.0553e-10,3.9863e-12,51664.12794,51667.09238,xray
163,2.365e+17,3.379e+16,3.41e-10,3.6255e-12,51664.12794,51667.09238,xray
164,3.153e+17,4.505e+16,3.6429e-10,3.7787e-12,51664.12794,51667.09238,xray
165,4.204e+17,6.008e+16,3.8917e-10,5.0471e-12,51664.12794,51667.09238,xray
166,5.606e+17,8.011e+16,3.9013e-10,5.744e-12,51664.12794,51667.09238,xray
167,7.475e+17,1.068e+17,3.8801e-10,4.9721e-12,51664.12794,51667.09238,xray
168,9.968e+17,1.424e+17,3.8133e-10,5.9704e-12,51664.12794,51667.09238,xray
169,1.329e+18,1.899e+17,3.6913e-10,7.9672e-12,51664.12794,51667.09238,xray
170,1.772e+18,2.533e+17,3.5008e-10,1.1049e-11,51664.12794,51667.09238,xray
171,2.363e+18,3.377e+17,3.333e-10,1.7788e-11,51664.12794,51667.09238,xray
172,3.151e+18,4.503e+17,2.725e-10,6.5155e-12,51664.12794,51667.09238,xray
173,4.202e+18,6.005e+17,2.5949e-10,4.3988e-12,51664.12794,51667.09238,xray
174,5.603e+18,8.007e+17,2.1681e-10,4.806e-12,51664.12794,51667.09238,xray
175,7.472e+18,1.068e+18,1.8493e-10,6.6665e-12,51664.12794,51667.09238,xray
176,9.963e+18,1.424e+18,1.4876e-10,8.9809e-12,51664.12794,51667.09238,xray
177,1.328e+19,1.898e+18,1.2882e-10,1.3506e-11,51664.12794,51667.09238,xray
178,1.771e+19,2.531e+18,1.0776e-10,1.4367e-11,51664.12794,51667.09238,xray
179,2.362e+19,3.375e+18,8.2101e-11,1.7311e-11,51664.12794,51667.09238,xray
180,3.15e+19,4.501e+18,6.4096e-11,2.9933e-11,51664.12794,51667.09238,gammaray
181,1.395e+17,2.077e+16,1.5591e-10,1.2914e-11,50570.17399,50570.40354,xray
182,1.883e+17,2.805e+16,1.5481e-10,8.8561e-12,50570.17399,50570.40354,xray
