index,frequency,frequency_bin,flux,flux_error,mjd_start,mjd_stop,waveband
97,1.395e+17,2.077e+16,2.2181e-10,1.0168e-11,50986.30302,50987.09852,xray
98,1.883e+17,2.805e+16,2.297e-10,7.1319e-12,50986.30302,50987.09852,xray
99,2.542e+17,3.786e+16,2.2822e-10,6.2857e-12,50986.30302,50987.09852,xray
100,3.432e+17,5.111e+16,2.225e-10,6.302e-12,50986.30302,50987.09852,xray
101,4.633e+17,6.901e+16,2.1141e-10,3.9655e-12,50986.30302,50987.09852,xray
102,6.255e+17,9.316e+16,1.9118e-10,4.0048e-12,50986.30302,50987.09852,xray
103,8.444e+17,1.258e+17,1.672e-10,3.5686e-12,50986.30302,50987.09852,xray
104,1.14e+18,1.698e+17,1.4428e-10,4.2425e-12,50986.30302,50987.09852,xray
105,1.539e+18,2.292e+17,1.2237e-10,5.5256e-12,50986.30302,50987.09852,xray
106,2.078e+18,3.094e+17,1.0208e-10,8.3187e-12,50986.30302,50987.09852,xray
107,2.805e+18,4.177e+17,9.6359e-11,1.1996e-11,50986.30302,50987.09852,xray
108,3.787e+18,5.64e+17,5.9571e-11,8.3832e-12,50986.30302,50987.09852,xray
109,5.112e+18,7.614e+17,3.8715e-11,7.3071e-12,50986.30302,50987.09852,xray
110,6.901e+18,1.028e+18,3.493e-11,9.554e-12,50986.30302,50987.09852,xray
111,9.316e+18,1.388e+18,2.3513e-11,9.0173e-12,50986.30302,50987.09852,xray
112,1.057e+17,1.649e+16,2.7281e-10,1.2563e-11,50926.01889,50927.27574,xray
113,1.448e+17,2.258e+16,2.7722e-10,7.5155e-12,50926.01889,50927.27574,xray
114,1.983e+17,3.092e+16,2.896e-10,5.6571e-12,50926.01889,50927.27574,xray
115,2.716e+17,4.234e+16,2.9534e-10,5.161e-12,50926.01889,50927.27574,xray
116,3.719e+17,5.798e+16,2.8323e-10,5.2405e-12,50926.01889,50927.27574,xray
117,5.092e+17,7.939e+16,2.6697e-10,4.8317e-12,50926.01889,50927.27574,xray
118,6.974e+17,1.087e+17,2.3872e-10,4.3881e-12,50926.01889,50927.27574,xray
119,9.549e+17,1.489e+17,2.0487e-10,4.4879e-12,50926.01889,50927.27574,xray
120,1.308e+18,2.039e+17,1.7373e-10,5.6112e-12,50926.01889,50927.27574,xray
121,1.791e+18,2.792e+17,1.4627e-10,7.8279e-12,50926.01889,50927.27574,xray
122,2.452e+18,3.823e+17,1.2878e-10,1.208e-11,50926.01889,50927.27574,xray
123,3.358e+18,5.235e+17,8.6974e-11,1.0381e-11,50926.01889,50927.27574,xray
124,4.599e+18,7.169e+17,6.1555e-11,6.7861e-12,50926.01889,50927.27574,xray
125,6.297e+18,9.818e+17,3.6709e-11,9.0295e-12,50926.01889,50927.27574,xray
126,8.623e+18,1.344e+18,3.618e-11,1.2949e-11,50926.01889,50927.27574,xray
127,1.057e+17,1.649e+16,1.9889e-10,8.0292e-12,51302.76176,51306.14015,xray
128,1.448e+17,2.258e+16,1.8791e-10,4.4619e-12,51302.76176,51306.14015,xray
129,1.983e+17,3.092e+16,1.7989e-10,3.1882e-12,51302.76176,51306.14015,xray
130,2.716e+17,4.234e+16,1.6734e-10,2.7648e-12,51302.76176,51306.14015,xray
131,3.719e+17,5.798e+16,1.4244e-10,2.4814e-12,51302.76176,51306.14015,xray
132,5.092e+17,7.939e+16,1.2157e-10,1.7201e-12,51302.76176,51306.14015,xray
133,6.974e+17,1.087e+17,9.815e-11,1.4882e-12,51302.76176,51306.14015,xray
134,9.549e+17,1.489e+17,7.3419e-11,1.4236e-12,51302.76176,51306.14015,xray
135,1.308e+18,2.039e+17,5.4781e-11,1.6807e-12,51302.76176,51306.14015,xray
136,1.791e+18,2.792e+17,3.9525e-11,2.1793e-12,51302.76176,51306.14015,xray
137,2.452e+18,3.823e+17,2.9457e-11,3.1649e-12,51302.76176,51306.14015,xray
138,3.358e+18,5.235e+17,1.1883e-11,3.7235e-12,51302.76176,51306.14015,xray
139,4.599e+18,7.169e+17,1.0645e-11,2.3889e-12,51302.76176,51306.14015,xray
140,6.297e+18,9.818e+17,1.0127e-11,3.1518e-12,51302.76176,51306.14015,xray
141,8.623e+18,1.344e+18,6.6007e-12,3.2098e-12,51302.76176,51306.14015,xray
142,1.617e+19,2.521e+18,6.9976e-12,3.8849e-12,51302.76176,51306.14015,xray
143,1.773e+17,2.534e+16,3.0672e-10,4.4636e-12,51660.73374,51662.97052,xray
144,2.365e+17,3.379e+16,3.4941e-10,4.1019e-12,51660.73374,51662.97052,xray
145,3.153e+17,4.505e+16,3.7025e-10,4.2559e-12,51660.73374,51662.97052,xray
146,4.204e+17,6.008e+16,3.9337e-10,4.1601e-12,51660.73374,51662.97052,xray
147,5.606e+17,8.011e+16,3.9676e-10,4.3891e-12,51660.73374,51662.97052,xray
148,7.475e+17,1.068e+17,3.9393e-10,3.7955e-12,51660.73374,51662.97052,xray
149,9.968e+17,1.424e+17,3.8953e-10,4.5718e-12,51660.73374,51662.97052,xray
150,1.329e+18,1.899e+17,3.8237e-10,6.1371e-12,51660.73374,51662.97052,xray
151,1.772e+18,2.533e+17,3.7311e-10,8.6457e-12,51660.73374,51662.97052,xray
152,2.363e+18,3.377e+17,3.5985e-10,1.3986e-11,51660.73374,51662.97052,xray
153,3.151e+18,4.503e+17,3.1129e-10,6.6224e-12,51660.73374,51662.97052,xray
154,4.202e+18,6.005e+17,2.8923e-10,4.5062e-12,51660.73374,51662.97052,xray
155,5.603e+18,8.007e+17,2.5769e-10,4.9358e-12,51660.73374,51662.97052,xray
